,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
1066,89744,You're Hired: How to Get a Job in Product Management,personal_development,All Levels,Learn how to become a product manager at a hot tech startup,"['By the end of the course, you will be ready to ace product management interviews.', 'In this course, you will learn what lean, data-informed product management is like and how to stand out in a competitive field of PM candidates.']"
1118,1804780,Body Language - The Scientific Way,personal_development,All Levels,"Improve your confidence, attractiveness, and success. Learn everything you need to know about body language in one hour.","['The evolutionary foundation behind modern social hierarchies', 'A simple & powerful framework for body language analysis', 'How to dissect body language in business and courtship']"
1133,2107816,ISO 9001:2015 QMS - Lead Auditor Preparation Practice Exam,personal_development,All Levels,"ISO 9001:2015 Lead Practice Exam - Excel in ISO 9001, QMS knowledge, experience & skills | 8 Audit Case Studies Excl.","['Sample Practice exam for ISO 9001:2015 Lead Auditor Exam', 'Audit Case Studies on ISO 9001 to enhance situation analysis as per the standard. Each study is then explained for mind enhancement as an auditor.', 'MCQs on ISO 9001:2015 Knowledge & Weak Areas of QMS']"
1275,4123332,Time Management A-Z: Ultimate Productivity Skills Workshop,personal_development,All Levels,The Complete Time Management Workshop Including All Necessary Techniques and Philosophies but also a Planner Pack,"[""You will learn the dosage principle, pareto principle, parkinson's law, urgent-important matrix, time boxing, pomodore technique, 1-3-5 rule & MIT method"", ""How can SWOT and SOAR analysis be utilized for personal concerns in the same way as the world's most skilled strategists do"", 'Very special ""9 path to finding inner value to modify time management techniques"" part only specific for this course that will change your life forever.']"
1285,1207462,Six Tools To Improve Your Tech Leadership & Communication,personal_development,All Levels,"Learn new leadership and communication tools, become a powerful motivator, and achieve leadership success","['How to avoid toxic forms of communication', 'How to forge alignment and avoid the dangers of consensus and groupthink', 'Force-field analysis: a great tool for making complex decisions']"
1411,588694,Data Science Career Guide - Career Development in Analytics,personal_development,All Levels,Learn how to plan and improve your data science and machine learning based career,"['plan your career in data science', 'identify possible employers', 'improve your CV to get more job interviews']"
1540,2672362,Complete course on developing a Solar Power Project + Model,personal_development,Beginner Level,"Complete analysis of Solar Power Project Requirements, financial model of the project, PPA, Captive Power Plant, Modules",['Students will learn about basics of ground mounted/rooftop Solar project development and management']
1566,1613828,Data Structures and Algorithms MasterClass: Coding Interview,personal_development,All Levels,Ace your next Java coding interview by mastering in data Structures and algorithms. Deep dive using Java,"['Code an implementation of each data structure, so you understand how they work under the covers.', 'Master commonly asked interview questions.', 'Tackle common data structures used in web development.']"
1732,3679716,Career Assessments,personal_development,All Levels,You'll learn assessments and tests to uncover your true career drivers and goals,"[""You'll learn about your key career preferences, in terms of people vs. data, real world vs. theory, and several other key dimensions"", ""You'll learn how to identify your desired values and culture from prospective companies through your past experiences"", ""You'll learn about the major drivers that guide your career decisions, regardless of position, throughout life""]"
1740,2217326,ISO 45001:2018 OH&SMS - Lead Auditor Preparation Exam,personal_development,Beginner Level,ISO 45001:2018 Online Practice Exam | Validate your knowledge with the help of explanation & Q/A| 4 Audit Case Studies,"['Sample Practice exam for ISO 45001:2018 Lead Auditor Exam', 'Audit Case Studies on ISO 45001 to enhance situation analysis as per the standard. Each study is then explained for mind enhancement as an auditor.', 'MCQs on ISO 45001:2018 Knowledge & Weak Areas of OH&SMS']"
1759,4005326,Speed Reading With World Brain Academy + Software Gift,personal_development,All Levels,"Tony Buzan Group Grand Master Trainer will teach you Speed Reading, Memory Techniques and Mind Map. + Software Gift","['Learn to read roughly 3 times the speed of an average college graduate, with above-average comprehension and retention', 'Master the exact same skills that win World Championships in Memorization - skills that can teach you to memorize thousands of data points in order', 'Learn how to process and internalize information in a highly-effective way, and how to apply this teaching to any skill you wish to learn']"
1771,1611228,Strategic Thinking Skills: Successful Career Must-Have,personal_development,Intermediate Level,Steps and techniques that enhance strategic thinking and set up a mindset for right decisions,"['Recognize steps that can help to develop a strategic mind-set.', 'Recognize how to use information effectively to support strategic thinking.', 'Describe how SWOT analysis can support strategic thinking.']"
1830,1055022,Introduction to Computational Thinking,personal_development,Beginner Level,"Learn how to solve problems, use data, and improve problem solution efficiency","['Develop detailed step-by-step solutions to problems, think about and interpret data, and understand how different techniques improve problem solution efficiency']"
1909,1960078,"Organize your digital life (clutter, de-clutter, declutter)",personal_development,All Levels,Find your stuff; Have peace of mind; Save time; Be in control; Be secure; Be produtive; Get organised; Enjoy your photos,"['How to get to - and stay at - inbox zero', 'How to organise your data', 'How to declutter and organise your computer desktop']"
2107,3679262,Memory Training : 3-in-1 course for improving memory,personal_development,Beginner Level,The world record holder teaches you how to improve your memory using three independent methods.,"['Memory Training, Improving memory for learning.', 'How to memorise large numbers.', 'How to memorise long lists like periodic tables, countries and capitals, historical data and much more.']"
2123,1724770,Forensic Fingerprinting,personal_development,Intermediate Level,Fingerprint analysis,"['Analyse Fingerprints', 'Identify various fingerprint patterns', 'Identifying individual and class characteristics']"
2407,3561135,Practical Mind Mapping for Beginners with Xmind Mind Maps.,personal_development,Beginner Level,"Learn easy Xmind based Mind Mapping to organise tasks & projects, solve problems & REDUCE STRESS! Free Mind Map Software","['What is a Mind Map, how you can use Mind Mapping Software to greatly increase your productivity, reduce task related stress and become well organised.', 'Quickly record and organise information, data, reference material and ideas using the Free Xmind Mind Mapping Software.', 'Quickly build and refine a To-Do List using Mind Mapping as a practical learning exercise.']"
2420,1198134,Business Analysis: Ultimate guide to kick start your career,personal_development,All Levels,How to land your dream job in Business Analysis and not only,"['At the end of the course the student will be able to: understand if the business analysis is the right career choice and if the student has what it takes to pursue this path, analyze the local job market and be able to fill the competency gaps, search for a job using proven means of success, build a winning resume, ace the interview and negotiate an appropriate salary for the job that they applied for.']"
2443,2509526,Intro to Intelligence Analysis for Security Management,personal_development,Beginner Level,FInd out a little more about how we get intelligence and how it could interact with your job,"['At this stage, students will learn the basics of intelligence, analysis and how it interacts with security management']"
2833,604834,Daily Planning: Strategies For Ultimate Success,personal_development,All Levels,"become more effective & efficient, do more in less, reduce stress, free up time for development & be a super planner!","['understand the importance and benefits of daily planning ', 'download and use a 2 week challenge template ', 'undertake a gap analysis between current and desired planning state']"
2844,3299860,Complete Forensic Lie Detection,personal_development,All Levels,Learn to detect deception the way law enforcement professionals do,"['Lie Detection', 'Reading and analysis of deception indicators']"
2858,4260734,Notion - From Head to Toe,personal_development,All Levels,Learn how Notion will empower you to improve your personal and professional lifestyle,"['How to create pages and blocks, and how to use them concurrently', 'How to format databases with different views tailored to your needs', 'How to use Linked Databases and the benefits of doing so']"
3050,3651998,Female Psychology: Understand YOURSELF and women AROUND YOU,personal_development,Beginner Level,"The basics of female psychology to find your path to happiness and success using Alpha, Beta, Gamma, Omega, Delta, Sigma","['The Basics of Female Psychology', 'In-depth analysis of the 6 Female Type Module', 'What are Social Roles and how they influence us']"
3249,923716,Structured Note Taking Vol 2: Create a Mistakes Journal,personal_development,All Levels,Create a Mistakes Journal to keep track of all your mistakes so that you can find solutions and patterns in your data.,"['Keep track of all your mistakes in one place', 'Avoid making the same mistake over and over by seeing historical patterns in your mistakes', 'Save all the solutions to your mistakes in on place']"
3459,2513710,(PMI_PBA) Questions &Answers for Each Knowledge area .,personal_development,Intermediate Level,Business analysis Questions & Answers Per Domains .,"['You will practice on updated questions for each knowledge area.', 'You will have an explanation and references for each questions.', 'You will be on Real exam environment .']"
3488,2119408,The Procrastination Cure:  Conquer Procrastination Now,personal_development,All Levels,"The only research-based course, guaranteed to help the chronic procrastinator","['How to prioritize tasks and projects according to your personal goals', 'A 3-step system for tracking your energy levels, and using the data to maximize your productivity', 'How to use Time Chunking to tackle large, daunting projects']"
3533,653344,"Develop An Awesome Memory, Guidance and Techniques for Boost",personal_development,All Levels,Boost your Memory with Proven Strategies and Advice that Will Benefit Your Recall Ability,"['You will learn the skills that can teach you to memorize thousands of data points in order', 'You will learn how to process and internalize information in a highly-effective way, and how to apply this teaching to any skill you wish to learn', 'You will have a boost in your confidence and you will get more time to do what you want.']"
3537,3327040,Astrological study of Modern careers(Advanced),personal_development,Intermediate Level,Extensive course on analysis of Modern careers in the light of vedic astrology,"['You will learn how to judge a career from a horoscope', 'You will understand the astrological combination for Career in Engineering and Science field', 'You will understand the astrological combination for Career in Medical field']"
3813,3679210,Career Assessments in Private Equity,personal_development,All Levels,You'll learn assessments and tests to uncover your true career drivers and goals - especially in Private Equity,"[""You'll learn about your key career preferences, in terms of people vs. data, real world vs. theory, and several other key dimensions"", ""You'll learn how to identify your desired values and culture from prospective companies through your past experiences"", ""You'll learn about the major drivers that guide your career decisions, regardless of position, throughout life""]"
3817,3431474,Personal SWOT Analysis in 30 minutes,personal_development,All Levels,"Find strengths, weaknesses, opportunities & threats","['Importance of SWOT analysis', 'How to find your strengths & weaknesses', 'How to find your opportunities & threats']"
4052,4370270,Fiction Writing 101 - How to immerse readers in your fiction,personal_development,Beginner Level,You don’t learn to write fiction just by taking classes. You learn to write by reading the writers you love.,"['Learn to write like your favorite author', 'Use analysis and synthesis to develop your writing skills', 'Build a toolkit of fundamental fiction writing skills']"
4071,3440572,Structural Analysis of Bolted Joints,personal_development,All Levels,A Basic Understanding,['Stress analysis of bolted joints']
4072,1655192,Build Confidence with Graphology in 7 days- No BS proven way,personal_development,All Levels,"Increase your self confidence, boost your self esteem and improve your self image","['Increase your self confidence, boost your self esteem and improve your self image', 'Identify symptoms of low self esteem through handwriting analysis using Graphology and Psychology.', 'Graphotherapy for building confidence.']"
4153,1273798,Structured Note Taking Vol 12: Personal Network Organizer,personal_development,All Levels,Learn how to create a sortable database of all your professional and person contacts,"['How to keep track of your contacts', 'How to use a tagging system to sort your contacts effectively', 'How to view all your contact data on each person via a automatically filled OnePagerr']"
4207,3858422,HR Analytics in Power BI,personal_development,Beginner Level,Connecting and Visualizing Human Resources Data Using Power BI,"['Aggregate and combine Human Resources data in Power BI', 'Connect transactional data in Power BI', 'Build relationship between related data sources in power BI']"
4211,60724,Measurement-Based Handwriting Movement Analysis -- Level II,personal_development,Intermediate Level,Steps towards becoming a professional handwriting analysis expert.,"[""This Course will teach you the science of handwriting analysis and enable you to analyze handwriting to hire the best employees.  This Course will teach you to analyze a person's whole handwriting by identifying honest and dishonest traits in the handwriting, identify reliability and dependability indicators, and determine whether someone is going to be a valuable employee on a long-term basis.  Furthermore, there are hundreds of handwriting traits taught in this Course that will make it very easy for you to analyze a person's handwriting with successful results every time.  Let's face it, majority of people can put on a great performance during an interview, but this Course will allow you to easily pinpoint a person's true attributes and character, which will serve as an additional source of information for you to make the best decision for your business.  In addition, some times people are reliable and great employees, but do not apply to jobs that are befitting to their personality.  For example, if you are shy, then applying for a job having to answer the phone and talk with people in a sales position may not be the best fit for you, but people do it every day and I have seen it so many times.  These methods in this Course will enable you to accurate match the best employee to the right positions, which will streamline your organization for greater success. Level I teaches the fundamentals of handwriting analysis for hiring employees, which is the foundation for the more in-depth concepts discussed in Level II and Level III.  As a whole, you will be equipped with the some of the most advanced techniques for personality and character assessment that is used to hire the best employees everyday on an international level."", ""This Course is a great training tool for people in the social science field, especially those people who are people watchers or enjoy the science of behavior and personality assessment.  This Course goes in-depth on all different types of personality and character traits and provides an in-depth perspective on compatibility and why certain people are attracted to others with certain personality types and explains the reasons behind this phenomenon.  Whether it is a business or personal relationship, this Course enable you to identify certain characteristics in your own handwriting and present to you handwriting traits that will be in other people's handwriting of those you are attracted to whether it be business or personal.  You will be blown away by the tremendous accuracy of how your friends, business partners or intimate partners all have extremely similar commonalities in their handwriting, which is compatible to your's.  This is not just a Course on handwriting analysis, but also about outward human behavior and how it correlates to handwriting and the life we lead with the people we choose to spend time with.  Each Level in this Course builds on each other to provide you with a full perspective analysis of this dynamic phenomena."", ""Level II of this Course will teach you complex characteristics in the handwriting on a level that reveals deep rooted secrets, desires, fantasies, and fears of the person's handwriting you are analyzing.  Handwriting analysis is so powerful that people who choose to disguise their handwriting to avoid revealing deep-rooted secrets actually reveal more about themselves because the specific handwriting strokes they choose to make to disguise their handwriting are traits that they add that would not easily be detected normally, but actually help in finding out more about them.  Imagine being able to look at a person's handwriting and be able to see their secrets, inner desires, fantasies, and fears, which may not be shared with anybody else.  These techniques are proven successful whether used for business, for fun by analyzing friends' handwriting samples, or an additional skill you'd like to add to your already existing repertoire of methods employed.  You will be fascinated will the skills you acquire from taking Level II and this Course.  It is recommended that you take Level I first prior to taking Level II as Level I serves as the foundation for the complex techniques discussed in Level II.""]"
4242,736948,Engaging Short Attention Span Audiences,personal_development,All Levels,The ACORN Communication Strategy: Getting a Squirrel to Focus; Engage and Persuade Today's Listeners,"['Apply persuasive communication elements to everyday business situations to make messages more effective and efficient.', 'Understand how to deliver messages based on the five essential elements of persuasion.  ', 'Create messages based on persuasion theory, using both basic and advanced techniques of persuasive structure, storytelling, and effective data transfer.']"
4266,63199,Measurement-Based Handwriting Movement Analysis -- Level III,personal_development,Expert Level,Steps towards becoming a professional handwriting analysis expert.,"[""This Course will teach you the science of handwriting analysis and enable you to analyze handwriting to hire the best employees.  This Course will teach you to analyze a person's whole handwriting by identifying honest and dishonest traits in the handwriting, identify reliability and dependability indicators, and determine whether someone is going to be a valuable employee on a long-term basis.  Furthermore, there are hundreds of handwriting traits taught in this Course that will make it very easy for you to analyze a person's handwriting with successful results every time.  Let's face it, majority of people can put on a great performance during an interview, but this Course will allow you to easily pinpoint a person's true attributes and character, which will serve as an additional source of information for you to make the best decision for your business.  In addition, some times people are reliable and great employees, but do not apply to jobs that are befitting to their personality.  For example, if you are shy, then applying for a job having to answer the phone and talk with people in a sales position may not be the best fit for you, but people do it every day and I have seen it so many times.  These methods in this Course will enable you to accurate match the best employee to the right positions, which will streamline your organization for greater success. Level I teaches the fundamentals of handwriting analysis for hiring employees, which is the foundation for the more in-depth concepts discussed in Level II and Level III.  As a whole, you will be equipped with the some of the most advanced techniques for personality and character assessment that is used to hire the best employees everyday on an international level."", ""This Course is a great training tool for people in the social science field, especially those people who are people watchers or enjoy the science of behavior and personality assessment.  This Course goes in-depth on all different types of personality and character traits and provides an in-depth perspective on compatibility and why certain people are attracted to others with certain personality types and explains the reasons behind this phenomenon.  Whether it is a business or personal relationship, this Course enable you to identify certain characteristics in your own handwriting and present to you handwriting traits that will be in other people's handwriting of those you are attracted to whether it be business or personal.  You will be blown away by the tremendous accuracy of how your friends, business partners or intimate partners all have extremely similar commonalities in their handwriting, which is compatible to your's.  This is not just a Course on handwriting analysis, but also about outward human behavior and how it correlates to handwriting and the life we lead with the people we choose to spend time with.  Each Level in this Course builds on each other to provide you with a full perspective analysis of this dynamic phenomena."", 'Level III is the final level for this Course and will teach you the powerful method of what I call Form Level, which enables handwriting analysts to verify the conclusions that they have made based on their analysis of a handwriting sample.  Form Level acts as a checks and balances system to completely allow you to verify the accuracy of your results so if you are not sure about certain aspects of your analysis that you conducted, then Form Level will verify those conclusions and provide you with further details of a person\'s entire personality and character.  Form Level is especially important for those in the business sector and plan to use these techniques for hiring decisions and you will have the comfort of knowing that your results are accurate and consistent every time as this Course\'s main goal was to make these methods easy to learn and apply.  Level III also goes into trait stroke analysis and goes over the history of how the science of handwriting analysis was first employed.  It goes over every letter of the English alphabet and reveals very interesting deep-rooted personality traits that have been consistent since you were a child.  The most fascinating letter that is covered is the personal pronoun \'i"" which will reveal on a very accurate level the relationship you had with your mother and father or those people who have raised you.  It is a very accurate method and imagine being able to look at the way people form this letter and having the ability to reveal these deep-rooted feelings stemming from your early years as a child and into adulthood.  Many times people subconsciously project these traits without even realizing it as the your parents are those who raised you and are a big part of your life whether good or bad, but nevertheless, these feeling are hidden in the personal pronoun ""i"".  And this Course will teach you how to accurately analyze these letters and successfully determine deep-rooted feelings and characteristics.']"
4581,3657682,The beginners course to understand The Brain Design,personal_development,All Levels,A step by step self analysis to understand the Psychology of your Fingerprints,"[""Analyse one's own Subconscious Brain Functioning"", 'Psychology', 'Neuroscience']"
4582,3817826,Exploration Geophysics Applied to the Oil & Gas Industry,personal_development,Intermediate Level,"Seismic data acquisition, processing and Interpretation","['A clear understanding of the main geophysical seismic techniques used in petroleum exploration and development.', 'Provide a comprehensive knowledge of Seismic Data and Elasticity , Sampling and Aliasing in time and Space', 'Provide knowledge of the main use of seismic data techniques and their limitations, Data Resolution']"
4725,4159258,Performance Management at Business Course,personal_development,All Levels,Performance Management at Business Lessons,"['In this course, you will learn about the reasons for the increase or decrease in performance in business life, the reasons, the results and the necessary interventions according to the data available.']"
4757,3023002,Storytelling for Technical Presentation,personal_development,All Levels,Transform your technical presentation into engaging talk by turning senseless data into something your audience care,"['How to use storytelling to create an engaging technical presentation', 'The difference between standard storytelling and technical storytelling', 'Real world examples on how to source, design and validate your stories']"
4864,3754008,Strategic Workforce Planning,personal_development,All Levels,Fundamentals of Strategic Workforce Planning(SWP),"['Basis of strategic workforce planning and its value add to the business', 'Leverage on data to make better talent and succession management decisions', 'Strategic workforce planning in excel']"
4949,1273790,Structured Note Taking Vol 8: Belief and Mindset Management,personal_development,All Levels,Implement a system to get clarity on your identity and collect all your beliefs into one master mindset database.,"['Get a clear picture of your identity across 50+ dimensions', 'Keep all your mindset related beliefs, quotes and saying in one organized database', 'Learn how to sort, filter and organize your beliefs']"
5066,4222720,Introduction to Digital Mapping Using QGIS,personal_development,Beginner Level,Learn geospatial analysis techniques with this powerful and free GIS software,"['Real world geospatial analysis techniques', 'Navigating the QGIS Interface', 'Geospatial Map Analysis']"
5503,4192972,Graphology Signature Analysis Complete Certification Course,personal_development,Beginner Level,Learn to find someone's public personality by using signature analysis,"['Graphology Signature Analysis', ""Complete knowledge about finding someone's public personality by just signature"", 'Able to suggest right changes in signature for improvements']"
5565,3655538,Research & Interviewing Strategies for Writers,personal_development,All Levels,How to Conduct Research and Organize Your Records in Evernote,"['How to identify valuable research sources', 'How to conduct interviews and verify facts', 'How to use academic and historical databases to do research']"
5890,3368002,Communicating With Data,personal_development,Intermediate Level,How to leverage data visualization principles to process and communicate effectively.,"['How to effectively use visual tools in communication.', 'Which charts to use in common scenarios.', 'How to use quantitative data in a jaunty and engaging way.']"
5985,3604316,"Effectiveness Paradigm for Data, Analytics, and Technology",personal_development,All Levels,"The Fundamentals of Working with People For Data, Analytics, and Technology Professionals","['Effective collaboration skills specific to professionals in data, analytics, statistics, data science, machine learning, artificial intelligence, and technology']"
6093,4072382,Succeed As A Data Science Writer On Medium,personal_development,All Levels,Data scientists + other data & tech pros can grow successes writing at Medium,"['How to create an account on Medium, and join the partner program.', 'How to write articles that will share your knowledge, and earn side-income.', 'How to use the Medium editor, source images, structure an article, choose headings, etc.']"
6126,3518328,Basic Statistics in Human Resources,personal_development,All Levels,Introduction to statistics in Human Resources,"['Basic Statistics in Human Resources', 'Application of Statistics in Human Resources', 'Statistical Methodologies for Collecting data in Human Resources']"
6367,2529504,Business & Project management with A3 analysis and thinking,personal_development,All Levels,Improve your Business and Project Management skills with continuous improvement using A3 thinking and analysis,"['Use A3 thinking to improve any business processes continuously', 'Step by Step approach to eliminate waste and defects in business', ""Boost organization's and individual's productivity and efficiency""]"
6638,4159222,Organizational and Work Psychology Course,personal_development,All Levels,Organizational and Work Psychology Lessons,"['In this course, you will gain a better working life, career and organization information in light of the data of psychology in business life.']"
6829,2992326,DIY Script Coverage,personal_development,All Levels,Develop industry-standard script coverage to analyse scripts for self-assessment or peer support in creative circles,"['How to develop an industry-standard script coverage report.', 'Identify a range of industry key terms used when reviewing and analysing scripts.', 'Assess your strengths and stumbling blocks in relation to your current project using script analysis.']"
6983,2651598,How to create a resume and a video CV that stands out !,personal_development,All Levels,Learn how to create from scratch THE resume that will change your life and allow you to obtain the job of your dreams.,"['Learn methodology points about CV formats.', 'Know which mistakes to avoid : analysis of each section of the CV step by step.', 'Master how to personalize your CV and be original : keys of the success.']"
7010,3521498,Writing Champion: Four Steps To Conquer Persuasive Writing!,personal_development,All Levels,"CURRENT WRITING INSTRUCTOR TEACHES HOW TO WRITE CONTENT THAT IS PURPOSEFUL, COMPELLING, AND INSPIRING!","['Learn how to write well-thought-out papers.', 'Understand each phase of the writing process: brainstorming, outlining, drafting, and editing.', 'Persuade your readers to accept your point-of-view or take action with convincing evidence and analysis.']"
7053,2584222,Performance Management at Business,personal_development,All Levels,Performance Management at Business,"['In this course, you will learn about the reasons for the increase or decrease in performance in business...', 'Via this course, the reasons, the results and the necessary interventions according to the data available.', 'This course is useful for your knowledge.']"
7246,3710114,How to find a profession using your Nakshatra?,personal_development,Beginner Level,Nakshatra qualities and how they can be used to identify profession,"['Students after completion of this course would learn the below aspects', '1. Understand how to identify their nakshatra based on their birth data', '2. Understand preparation of chart and get Nakshatra data in order to enable to get the suitable profession options']"
7289,3673994,Dream Coaching with Sigmund Freud ( Level 1),personal_development,Beginner Level,You can easily go deep into the unconscious area with dream analysis and heal ...,['Dream Coaching Technique that Sigmund Freud uses...']
7341,4521346,Strategic Leadership Training,personal_development,All Levels,How to Become a Strategic Leader - A Practical Guide,"['Understand the business context within which they operate, including external factors such as market conditions, customer expectations and political obstacles.', 'Identify key stakeholders and understand their interests, expectations and levels of influence.', 'Conduct a SWOT analysis to frame the vision within its context.']"
7368,4028948,Learn Graphology and Handwriting analysis,personal_development,Intermediate Level,Learn graphology to understand yourself and other & make a positive change. Course by Therapist Manissha Nihalanii,"['Students will learn to analyse handwriting and connect it with a persons personality', 'students will learn traits, personality, behavioural analysis and much more through analysis']"
7450,3608772,HR Analytics in MS Excel,personal_development,All Levels,HR Analytics Skills in MS Excel,"['Become proficient in excel data analysis tools', 'Use pivot tables for filtering and sorting data for HR Analytics in excel', 'Implement predictive models such as simple and multiple linear regression to predict outcomes']"
7576,2583102,Organizational and Work Psychology Course,personal_development,All Levels,Organizational and Work Psychology Lessons,"['In this course, you will gain a better working life, career and organization information in light of the data of psychology in business life.']"
8238,4504566,Specialist Certificate in Psychoanalytic Therapy,personal_development,Intermediate Level,An accredited and certified specialized 8-module program for those interested in psychoanalytic therapy.,"['Learn what the most common forms of psychotherapy are and the differences between their approaches.', 'Discover what psychoanalysis is and how the practice is used to help clients solve their psychological and emotional problems.', 'Gain competence in the application and practice of psychoanalytical psychotherapy.']"
8564,4122572,Transactional Analysis (TA) A Study,personal_development,Intermediate Level,Transactional analysis can help people reach their fullest potential in all areas of life,['A basic idea of Transactional Analysis']
8718,3881292,The Laws of Handwriting Analysis,personal_development,Beginner Level,Handwriting analysis made easy.,"['Learn what handwriting analysis is and what it tells you about an individuals personality.', 'Learn how to use handwriting analysis for personal development and understanding people around you.']"
8879,1435732,Choosing a Career to Match Personal Skills and Abilities,personal_development,All Levels,Building on a Foundation of Reliable Resources,"['•\tKnow the foundations of career choice and career development.', '•\tExplore and develop skills to make an individualized career choice.', '•\tLearn the value of resources built on a foundation of data provided by the US Department of Labor.']"
9021,4360956,SLAY Your Salary Negotiation!,personal_development,Beginner Level,Overcome Your Fears and Get Paid What You Deserve!,"['Understand the reasons who you do not negotiate your salary', 'Establish concrete boundaries that will guide your negotiations', 'Leverage the power of data to inform your salary ask and provoke confidence']"
9064,4530660,Effective Problem Solving,personal_development,All Levels,A Systematic Approach to Complex Problem Solving,"['Understand the need and importance for problem solvers in the world today', 'Effectively define the problem statement and set realistic goals and target state', 'Perform a current state analysis to understand the existing situation']"
9245,4472684,Behavior Management,personal_development,Beginner Level,Get Children's Problem Behaviors Under Control,"['Understand various strategies to manage problem behaviors in children.', 'Set goals, track data, and assess progress.', 'Troubleshoot problem behaviors.']"
